"Stknmec","Stkcd","Accper","AnaAttention","ReportAttention"
"深万科A","000002","2001-12-31","",""
"万科A","000002","2002-12-31","2","3"
"万科A","000002","2003-12-31","5","7"
"万科A","000002","2004-12-31","7","9"
"G 万科A","000002","2005-12-31","13","25"
"万科A","000002","2006-12-31","17","28"
"万科A","000002","2007-12-31","19","34"
"万科A","000002","2008-12-31","49","139"
"万科A","000002","2009-12-31","65","151"
"万科A","000002","2010-12-31","63","140"
"万科A","000002","2011-12-31","59","174"
"万科A","000002","2012-12-31","57","188"
"万科A","000002","2013-12-31","53","198"
"万科A","000002","2014-12-31","38","219"
"万科A","000002","2015-12-31","39","163"
"万科A","000002","2016-12-31","26","92"
"万科A","000002","2017-12-31","42","147"
"万科A","000002","2018-12-31","45","173"
"万科A","000002","2019-12-31","49","155"
"万科A","000002","2020-12-31","45","164"
"万科A","000002","2021-12-31","37","130"
"深振业A","000006","2001-12-31","1","1"
"深振业A","000006","2002-12-31","",""
"深振业A","000006","2003-12-31","",""
"深振业A","000006","2004-12-31","",""
"深振业A","000006","2005-12-31","",""
"深振业A","000006","2006-12-31","3","5"
"深振业A","000006","2007-12-31","2","2"
"深振业A","000006","2008-12-31","8","13"
"深振业A","000006","2009-12-31","12","23"
"深振业A","000006","2010-12-31","13","23"
"深振业A","000006","2011-12-31","6","7"
"深振业A","000006","2012-12-31","5","7"
"深振业A","000006","2013-12-31","8","23"
"深振业A","000006","2014-12-31","6","12"
"深振业A","000006","2015-12-31","5","5"
"深振业A","000006","2016-12-31","2","2"
"深振业A","000006","2017-12-31","4","9"
"深振业A","000006","2018-12-31","",""
"深振业A","000006","2019-12-31","1","1"
"深振业A","000006","2020-12-31","",""
"深振业A","000006","2021-12-31","",""
"ST 达声","000007","2001-12-31","",""
"深达声A","000007","2002-12-31","",""
"深达声A","000007","2003-12-31","",""
"深达声A","000007","2004-12-31","",""
"深达声A","000007","2005-12-31","",""
"深达声A","000007","2006-12-31","",""
"ST 达声","000007","2007-12-31","",""
"ST 达声","000007","2008-12-31","",""
"ST 达声","000007","2009-12-31","",""
"ST 零七","000007","2010-12-31","",""
"ST 零七","000007","2011-12-31","",""
"零七股份","000007","2012-12-31","3","4"
"零七股份","000007","2013-12-31","3","6"
"零七股份","000007","2014-12-31","",""
"零七股份","000007","2015-12-31","",""
"全新好","000007","2016-12-31","",""
"全新好","000007","2017-12-31","",""
"全新好","000007","2018-12-31","",""
"全新好","000007","2019-12-31","",""
"全新好","000007","2020-12-31","",""
"*ST 全新","000007","2021-12-31","",""
"亿安科技","000008","2001-12-31","",""
"ST 亿安","000008","2002-12-31","",""
"*ST 亿安","000008","2003-12-31","",""
"ST 亿安","000008","2004-12-31","",""
"G 宝利来","000008","2005-12-31","",""
"宝利来","000008","2006-12-31","",""
"*ST 宝投","000008","2007-12-31","",""
"ST 宝利来","000008","2008-12-31","",""
"ST 宝利来","000008","2009-12-31","",""
"ST 宝利来","000008","2010-12-31","",""
"ST 宝利来","000008","2011-12-31","",""
"ST 宝利来","000008","2012-12-31","1","1"
"宝利来","000008","2013-12-31","",""
"宝利来","000008","2014-12-31","2","3"
"神州高铁","000008","2015-12-31","6","9"
"神州高铁","000008","2016-12-31","9","16"
"神州高铁","000008","2017-12-31","11","19"
"神州高铁","000008","2018-12-31","2","2"
"神州高铁","000008","2019-12-31","7","13"
"神州高铁","000008","2020-12-31","2","2"
"神州高铁","000008","2021-12-31","",""
"深宝安A","000009","2001-12-31","",""
"深宝安A","000009","2002-12-31","1","1"
"深宝安A","000009","2003-12-31","",""
"深宝安A","000009","2004-12-31","",""
"深宝安A","000009","2005-12-31","1","1"
"S 深宝安A","000009","2006-12-31","1","1"
"S 深宝安A","000009","2007-12-31","",""
"中国宝安","000009","2008-12-31","2","2"
"中国宝安","000009","2009-12-31","3","5"
"中国宝安","000009","2010-12-31","6","10"
"中国宝安","000009","2011-12-31","4","9"
"中国宝安","000009","2012-12-31","",""
"中国宝安","000009","2013-12-31","1","1"
"中国宝安","000009","2014-12-31","2","4"
"中国宝安","000009","2015-12-31","1","5"
"中国宝安","000009","2016-12-31","",""
"中国宝安","000009","2017-12-31","",""
"中国宝安","000009","2018-12-31","",""
"中国宝安","000009","2019-12-31","1","1"
"中国宝安","000009","2020-12-31","1","2"
"中国宝安","000009","2021-12-31","3","4"
"深华新","000010","2001-12-31","",""
"深华新","000010","2002-12-31","",""
"深华新","000010","2003-12-31","",""
"深华新","000010","2004-12-31","",""
"深华新","000010","2005-12-31","",""
"S*ST 华新","000010","2006-12-31","",""
"SST 华新","000010","2007-12-31","",""
"SST 华新","000010","2008-12-31","",""
"SST 华新","000010","2009-12-31","",""
"SST 华新","000010","2010-12-31","",""
"SST 华新","000010","2011-12-31","",""
"SST 华新","000010","2012-12-31","",""
"深华新","000010","2013-12-31","",""
"深华新","000010","2014-12-31","",""
"深华新","000010","2015-12-31","",""
"美丽生态","000010","2016-12-31","2","2"
"美丽生态","000010","2017-12-31","",""
"美丽生态","000010","2018-12-31","",""
"*ST 美丽","000010","2019-12-31","",""
"美丽生态","000010","2020-12-31","",""
"美丽生态","000010","2021-12-31","",""
"ST 深物业","000011","2001-12-31","",""
"ST 深物业","000011","2002-12-31","3","3"
"ST 深物业","000011","2003-12-31","",""
"ST 深物业","000011","2004-12-31","",""
"深物业A","000011","2005-12-31","",""
"S 深物业A","000011","2006-12-31","",""
"S 深物业A","000011","2007-12-31","",""
"S*ST 物业","000011","2008-12-31","",""
"深物业A","000011","2009-12-31","",""
"深物业A","000011","2010-12-31","","1"
"深物业A","000011","2011-12-31","1","2"
"深物业A","000011","2012-12-31","1","1"
"深物业A","000011","2013-12-31","1","1"
"深物业A","000011","2014-12-31","",""
"深物业A","000011","2015-12-31","",""
"深物业A","000011","2016-12-31","",""
"深物业A","000011","2017-12-31","",""
"深物业A","000011","2018-12-31","",""
"深物业A","000011","2019-12-31","",""
"深物业A","000011","2020-12-31","",""
"深物业A","000011","2021-12-31","",""
"南玻科控","000012","2001-12-31","",""
"南玻科控","000012","2002-12-31","1","1"
"南玻A","000012","2003-12-31","2","2"
"南玻A","000012","2004-12-31","4","5"
"南玻A","000012","2005-12-31","12","16"
"南玻A","000012","2006-12-31","3","7"
"南玻A","000012","2007-12-31","6","7"
"南玻A","000012","2008-12-31","19","46"
"南玻A","000012","2009-12-31","28","56"
"南玻A","000012","2010-12-31","34","75"
"南玻A","000012","2011-12-31","30","59"
"南玻A","000012","2012-12-31","21","36"
"南玻A","000012","2013-12-31","25","51"
"南玻A","000012","2014-12-31","13","22"
"南玻A","000012","2015-12-31","8","20"
"南玻A","000012","2016-12-31","11","15"
"南玻A","000012","2017-12-31","3","6"
"南玻A","000012","2018-12-31","3","5"
"南玻A","000012","2019-12-31","3","5"
"南玻A","000012","2020-12-31","3","3"
"南玻A","000012","2021-12-31","11","20"
"ST 深华源","000014","2001-12-31","",""
"沙河股份","000014","2002-12-31","1","1"
"沙河股份","000014","2003-12-31","",""
"沙河股份","000014","2004-12-31","",""
"沙河股份","000014","2005-12-31","",""
"沙河股份","000014","2006-12-31","",""
"沙河股份","000014","2007-12-31","",""
"沙河股份","000014","2008-12-31","",""
"沙河股份","000014","2009-12-31","3","3"
"沙河股份","000014","2010-12-31","1","2"
"沙河股份","000014","2011-12-31","1","1"
"沙河股份","000014","2012-12-31","",""
"沙河股份","000014","2013-12-31","",""
"沙河股份","000014","2014-12-31","",""
"沙河股份","000014","2015-12-31","",""
"沙河股份","000014","2016-12-31","",""
"沙河股份","000014","2017-12-31","",""
"沙河股份","000014","2018-12-31","",""
"沙河股份","000014","2019-12-31","",""
"沙河股份","000014","2020-12-31","",""
"沙河股份","000014","2021-12-31","",""
"深康佳A","000016","2001-12-31","",""
"深康佳A","000016","2002-12-31","2","2"
"深康佳A","000016","2003-12-31","2","3"
"深康佳A","000016","2004-12-31","2","3"
"深康佳A","000016","2005-12-31","2","2"
"深康佳A","000016","2006-12-31","2","2"
"深康佳A","000016","2007-12-31","1","1"
"深康佳A","000016","2008-12-31","9","21"
"深康佳A","000016","2009-12-31","13","21"
"深康佳A","000016","2010-12-31","7","7"
"深康佳A","000016","2011-12-31","3","4"
"深康佳A","000016","2012-12-31","5","6"
"深康佳A","000016","2013-12-31","3","3"
"深康佳A","000016","2014-12-31","1","1"
"深康佳A","000016","2015-12-31","",""
"深康佳A","000016","2016-12-31","",""
"深康佳A","000016","2017-12-31","",""
"深康佳A","000016","2018-12-31","1","1"
"深康佳A","000016","2019-12-31","1","2"
"深康佳A","000016","2020-12-31","",""
"深康佳A","000016","2021-12-31","",""
"ST 中华A","000017","2001-12-31","",""
"ST 中华A","000017","2002-12-31","",""
"ST 中华A","000017","2003-12-31","",""
"ST 中华A","000017","2004-12-31","",""
"*ST 中华A","000017","2005-12-31","",""
"S*ST 中华","000017","2006-12-31","",""
"SST 中华A","000017","2007-12-31","",""
"SST 中华A","000017","2008-12-31","",""
"SST 中华A","000017","2009-12-31","","1"
"*ST 中华A","000017","2010-12-31","",""
"*ST 中华A","000017","2011-12-31","",""
"*ST 中华A","000017","2012-12-31","",""
"*ST 中华A","000017","2013-12-31","",""
"深中华A","000017","2014-12-31","",""
"深中华A","000017","2015-12-31","",""
"深中华A","000017","2016-12-31","",""
"深中华A","000017","2017-12-31","",""
"深中华A","000017","2018-12-31","",""
"深中华A","000017","2019-12-31","",""
"*ST 中华A","000017","2020-12-31","",""
"深中华A","000017","2021-12-31","",""
"深中冠A","000018","2001-12-31","",""
"深中冠A","000018","2002-12-31","",""
"深中冠A","000018","2003-12-31","",""
"深中冠A","000018","2004-12-31","",""
"深中冠A","000018","2005-12-31","",""
"深中冠A","000018","2006-12-31","",""
"ST 中冠A","000018","2007-12-31","",""
"ST 中冠A","000018","2008-12-31","",""
"*ST 中冠A","000018","2009-12-31","","2"
"ST 中冠A","000018","2010-12-31","",""
"ST 中冠A","000018","2011-12-31","",""
"ST 中冠A","000018","2012-12-31","",""
"*ST 中冠A","000018","2013-12-31","",""
"中冠A","000018","2014-12-31","1","1"
"神州长城","000018","2015-12-31","7","17"
"神州长城","000018","2016-12-31","13","51"
"神州长城","000018","2017-12-31","7","20"
"神州长城","000018","2018-12-31","",""
"神城A退","000018","2019-12-31","",""
"神城A退","000018","2020-12-31","",""
"深深宝A","000019","2001-12-31","",""
"深深宝A","000019","2002-12-31","",""
"深深宝A","000019","2003-12-31","",""
"深深宝A","000019","2004-12-31","",""
"深深宝A","000019","2005-12-31","",""
"深深宝A","000019","2006-12-31","",""
"深深宝A","000019","2007-12-31","",""
"深深宝A","000019","2008-12-31","",""
"深深宝A","000019","2009-12-31","","1"
"深深宝A","000019","2010-12-31","",""
"深深宝A","000019","2011-12-31","",""
"深深宝A","000019","2012-12-31","2","2"
"深深宝A","000019","2013-12-31","",""
"深深宝A","000019","2014-12-31","",""
"深深宝A","000019","2015-12-31","",""
"深深宝A","000019","2016-12-31","",""
"深深宝A","000019","2017-12-31","",""
"深深宝A","000019","2018-12-31","",""
"深粮控股","000019","2019-12-31","",""
"深粮控股","000019","2020-12-31","",""
"深粮控股","000019","2021-12-31","",""
"深华发A","000020","2001-12-31","",""
"深华发A","000020","2002-12-31","1","1"
"深华发A","000020","2003-12-31","",""
"ST 华发A","000020","2004-12-31","",""
"*ST 华发A","000020","2005-12-31","",""
"SST 华发A","000020","2006-12-31","",""
"ST 华发A","000020","2007-12-31","",""
"ST 华发A","000020","2008-12-31","",""
"深华发A","000020","2009-12-31","",""
"深华发A","000020","2010-12-31","",""
"深华发A","000020","2011-12-31","","1"
"深华发A","000020","2012-12-31","",""
"深华发A","000020","2013-12-31","",""
"深华发A","000020","2014-12-31","",""
"深华发A","000020","2015-12-31","",""
"深华发A","000020","2016-12-31","",""
"深华发A","000020","2017-12-31","1","1"
"深华发A","000020","2018-12-31","",""
"深华发A","000020","2019-12-31","",""
"深华发A","000020","2020-12-31","",""
"深华发A","000020","2021-12-31","",""
"深科技A","000021","2001-12-31","",""
"深科技A","000021","2002-12-31","",""
"深科技A","000021","2003-12-31","4","4"
"深科技A","000021","2004-12-31","1","1"
"深科技A","000021","2005-12-31","1","1"
"长城开发","000021","2006-12-31","4","4"
"长城开发","000021","2007-12-31","5","13"
"长城开发","000021","2008-12-31","4","8"
"长城开发","000021","2009-12-31","15","27"
"长城开发","000021","2010-12-31","16","30"
"长城开发","000021","2011-12-31","5","5"
"长城开发","000021","2012-12-31","2","2"
"长城开发","000021","2013-12-31","4","8"
"长城开发","000021","2014-12-31","2","2"
"深科技","000021","2015-12-31","1","1"
"深科技","000021","2016-12-31","4","5"
"深科技","000021","2017-12-31","2","6"
"深科技","000021","2018-12-31","1","1"
"深科技","000021","2019-12-31","",""
"深科技","000021","2020-12-31","5","14"
"深科技","000021","2021-12-31","10","20"
"深赤湾A","000022","2001-12-31","",""
"深赤湾A","000022","2002-12-31","",""
"深赤湾A","000022","2003-12-31","7","8"
"深赤湾A","000022","2004-12-31","5","6"
"深赤湾A","000022","2005-12-31","13","17"
"深赤湾A","000022","2006-12-31","15","21"
"深赤湾A","000022","2007-12-31","7","11"
"深赤湾A","000022","2008-12-31","9","16"
"深赤湾A","000022","2009-12-31","20","43"
"深赤湾A","000022","2010-12-31","25","56"
"深赤湾A","000022","2011-12-31","20","29"
"深赤湾A","000022","2012-12-31","11","22"
"深赤湾A","000022","2013-12-31","5","9"
"深赤湾A","000022","2014-12-31","2","3"
"深赤湾A","000022","2015-12-31","",""
"深赤湾A","000022","2016-12-31","",""
"深赤湾A","000022","2017-12-31","5","11"
"深赤湾A","000022","2018-12-31","1","1"
"深天地A","000023","2001-12-31","",""
"深天地A","000023","2002-12-31","",""
"深天地A","000023","2003-12-31","",""
"深天地A","000023","2004-12-31","",""
"深天地A","000023","2005-12-31","",""
"深天地A","000023","2006-12-31","",""
"深天地A","000023","2007-12-31","",""
"深天地A","000023","2008-12-31","",""
"深天地A","000023","2009-12-31","",""
"深天地A","000023","2010-12-31","",""
"深天地A","000023","2011-12-31","",""
"深天地A","000023","2012-12-31","",""
"深天地A","000023","2013-12-31","",""
"深天地A","000023","2014-12-31","",""
"深天地A","000023","2015-12-31","1","1"
"深天地A","000023","2016-12-31","1","1"
"深天地A","000023","2017-12-31","",""
"深天地A","000023","2018-12-31","",""
"深天地A","000023","2019-12-31","",""
"深天地A","000023","2020-12-31","",""
"深天地A","000023","2021-12-31","",""
"招商局A","000024","2001-12-31","",""
"招商局A","000024","2002-12-31","",""
"招商局A","000024","2003-12-31","6","7"
"招商地产","000024","2004-12-31","1","1"
"招商地产","000024","2005-12-31","13","15"
"招商地产","000024","2006-12-31","10","15"
"招商地产","000024","2007-12-31","12","20"
"招商地产","000024","2008-12-31","38","78"
"招商地产","000024","2009-12-31","46","82"
"招商地产","000024","2010-12-31","36","56"
"招商地产","000024","2011-12-31","35","71"
"招商地产","000024","2012-12-31","42","80"
"招商地产","000024","2013-12-31","43","112"
"招商地产","000024","2014-12-31","32","114"
"招商地产","000024","2015-12-31","25","63"
"ST 特力A","000025","2001-12-31","",""
"ST 特力A","000025","2002-12-31","",""
"ST 特力A","000025","2003-12-31","",""
"ST 特力A","000025","2004-12-31","",""
"ST 特力A","000025","2005-12-31","1","1"
"特力A","000025","2006-12-31","",""
"特力A","000025","2007-12-31","",""
"特力A","000025","2008-12-31","",""
"特力A","000025","2009-12-31","","3"
"特力A","000025","2010-12-31","","2"
"特力A","000025","2011-12-31","1","1"
"特力A","000025","2012-12-31","",""
"特力A","000025","2013-12-31","",""
"特力A","000025","2014-12-31","1","1"
"特力A","000025","2015-12-31","",""
"特力A","000025","2016-12-31","",""
"特力A","000025","2017-12-31","",""
"特力A","000025","2018-12-31","",""
"特力A","000025","2019-12-31","",""
"特力A","000025","2020-12-31","",""
"特力A","000025","2021-12-31","",""
"飞亚达A","000026","2001-12-31","",""
"飞亚达A","000026","2002-12-31","",""
"飞亚达A","000026","2003-12-31","",""
"飞亚达A","000026","2004-12-31","",""
"飞亚达A","000026","2005-12-31","",""
"S 飞亚达A","000026","2006-12-31","",""
"飞亚达A","000026","2007-12-31","3","3"
"飞亚达A","000026","2008-12-31","10","20"
"飞亚达A","000026","2009-12-31","6","12"
"飞亚达A","000026","2010-12-31","11","16"
"飞亚达A","000026","2011-12-31","12","30"
"飞亚达A","000026","2012-12-31","19","37"
"飞亚达A","000026","2013-12-31","14","28"
"飞亚达A","000026","2014-12-31","13","34"
"飞亚达A","000026","2015-12-31","11","20"
"飞亚达A","000026","2016-12-31","8","13"
"飞亚达A","000026","2017-12-31","18","35"
"飞亚达A","000026","2018-12-31","12","18"
"飞亚达A","000026","2019-12-31","4","11"
"飞亚达","000026","2020-12-31","12","30"
"飞亚达","000026","2021-12-31","13","42"
"深能源A","000027","2001-12-31","",""
"深能源A","000027","2002-12-31","2","2"
"深能源A","000027","2003-12-31","4","5"
"深能源A","000027","2004-12-31","3","4"
"深能源A","000027","2005-12-31","10","17"
"深能源A","000027","2006-12-31","9","16"
"深圳能源","000027","2007-12-31","2","2"
"深圳能源","000027","2008-12-31","9","14"
"深圳能源","000027","2009-12-31","17","39"
"深圳能源","000027","2010-12-31","19","34"
"深圳能源","000027","2011-12-31","12","13"
"深圳能源","000027","2012-12-31","5","10"
"深圳能源","000027","2013-12-31","5","6"
"深圳能源","000027","2014-12-31","5","7"
"深圳能源","000027","2015-12-31","3","3"
"深圳能源","000027","2016-12-31","1","3"
"深圳能源","000027","2017-12-31","4","4"
"深圳能源","000027","2018-12-31","4","5"
"深圳能源","000027","2019-12-31","5","6"
"深圳能源","000027","2020-12-31","",""
"深圳能源","000027","2021-12-31","1","1"
"一致药业","000028","2001-12-31","",""
"一致药业","000028","2002-12-31","1","1"
"一致药业","000028","2003-12-31","1","1"
"一致药业","000028","2004-12-31","",""
"一致药业","000028","2005-12-31","1","2"
"一致药业","000028","2006-12-31","4","8"
"一致药业","000028","2007-12-31","8","13"
"一致药业","000028","2008-12-31","9","22"
"一致药业","000028","2009-12-31","17","30"
"一致药业","000028","2010-12-31","19","32"
"一致药业","000028","2011-12-31","18","37"
"国药一致","000028","2012-12-31","14","31"
"国药一致","000028","2013-12-31","21","52"
"国药一致","000028","2014-12-31","19","38"
"国药一致","000028","2015-12-31","14","31"
"国药一致","000028","2016-12-31","12","24"
"国药一致","000028","2017-12-31","22","49"
"国药一致","000028","2018-12-31","26","44"
"国药一致","000028","2019-12-31","16","38"
"国药一致","000028","2020-12-31","13","28"
"国药一致","000028","2021-12-31","7","10"
"深深房A","000029","2001-12-31","",""
"深深房A","000029","2002-12-31","",""
"深深房A","000029","2003-12-31","",""
"深深房A","000029","2004-12-31","",""
"深深房A","000029","2005-12-31","",""
"深深房A","000029","2006-12-31","",""
"深深房A","000029","2007-12-31","",""
"深深房A","000029","2008-12-31","",""
"深深房A","000029","2009-12-31","1","2"
"深深房A","000029","2010-12-31","",""
"深深房A","000029","2011-12-31","1","1"
"深深房A","000029","2012-12-31","",""
"深深房A","000029","2013-12-31","",""
"深深房A","000029","2014-12-31","",""
"深深房A","000029","2015-12-31","",""
"深深房A","000029","2016-12-31","",""
"深深房A","000029","2017-12-31","",""
"深深房A","000029","2018-12-31","",""
"深深房A","000029","2019-12-31","",""
"深深房A","000029","2020-12-31","",""
"深深房A","000029","2021-12-31","",""
"ST 英达A","000030","2001-12-31","",""
"ST 盛润A","000030","2002-12-31","",""
"*ST 盛润A","000030","2003-12-31","",""
"ST 盛润A","000030","2004-12-31","",""
"ST 盛润A","000030","2005-12-31","",""
"S*ST 盛润","000030","2006-12-31","",""
"S*ST 盛润","000030","2007-12-31","",""
"ST 盛润A","000030","2008-12-31","",""
"*ST 盛润A","000030","2009-12-31","",""
"*ST 盛润A","000030","2010-12-31","",""
"*ST 盛润A","000030","2011-12-31","",""
"*ST 盛润A","000030","2012-12-31","",""
"富奥股份","000030","2013-12-31","",""
"富奥股份","000030","2014-12-31","4","5"
"富奥股份","000030","2015-12-31","3","4"
"富奥股份","000030","2016-12-31","2","3"
"富奥股份","000030","2017-12-31","4","9"
"富奥股份","000030","2018-12-31","1","2"
"富奥股份","000030","2019-12-31","2","3"
"富奥股份","000030","2020-12-31","1","1"
"富奥股份","000030","2021-12-31","1","1"
"深宝恒A","000031","2001-12-31","1","1"
"深宝恒A","000031","2002-12-31","1","1"
"深宝恒A","000031","2003-12-31","",""
"深宝恒A","000031","2004-12-31","",""
"深宝恒A","000031","2005-12-31","1","1"
"中粮地产","000031","2006-12-31","1","1"
"中粮地产","000031","2007-12-31","1","1"
"中粮地产","000031","2008-12-31","5","11"
"中粮地产","000031","2009-12-31","2","4"
"中粮地产","000031","2010-12-31","2","4"
"中粮地产","000031","2011-12-31","3","5"
"中粮地产","000031","2012-12-31","3","3"
"中粮地产","000031","2013-12-31","1","2"
"中粮地产","000031","2014-12-31","3","3"
"中粮地产","000031","2015-12-31","2","2"
"中粮地产","000031","2016-12-31","2","2"
"中粮地产","000031","2017-12-31","1","1"
"中粮地产","000031","2018-12-31","7","12"
"大悦城","000031","2019-12-31","18","37"
"大悦城","000031","2020-12-31","15","26"
"大悦城","000031","2021-12-31","4","8"
"深桑达A","000032","2001-12-31","",""
"深桑达A","000032","2002-12-31","",""
"深桑达A","000032","2003-12-31","",""
"深桑达A","000032","2004-12-31","",""
"深桑达A","000032","2005-12-31","",""
"深桑达A","000032","2006-12-31","",""
"深桑达A","000032","2007-12-31","",""
"深桑达A","000032","2008-12-31","",""
"深桑达A","000032","2009-12-31","",""
"深桑达A","000032","2010-12-31","","1"
"深桑达A","000032","2011-12-31","1","1"
"深桑达A","000032","2012-12-31","",""
"深桑达A","000032","2013-12-31","",""
"深桑达A","000032","2014-12-31","",""
"深桑达A","000032","2015-12-31","1","1"
"深桑达A","000032","2016-12-31","",""
"深桑达A","000032","2017-12-31","",""
"深桑达A","000032","2018-12-31","",""
"深桑达A","000032","2019-12-31","",""
"深桑达A","000032","2020-12-31","",""
"深桑达A","000032","2021-12-31","",""
"ST 新都","000033","2001-12-31","",""
"新都酒店","000033","2002-12-31","1","1"
"新都酒店","000033","2003-12-31","",""
"新都酒店","000033","2004-12-31","",""
"新都酒店","000033","2005-12-31","",""
"新都酒店","000033","2006-12-31","",""
"新都酒店","000033","2007-12-31","",""
"新都酒店","000033","2008-12-31","",""
"新都酒店","000033","2009-12-31","","1"
"新都酒店","000033","2010-12-31","1","1"
"新都酒店","000033","2011-12-31","1","2"
"新都酒店","000033","2012-12-31","2","2"
"新都酒店","000033","2013-12-31","1","1"
"*ST 新都","000033","2014-12-31","",""
"*ST 新都","000033","2015-12-31","1","1"
"*ST 新都","000033","2016-12-31","",""
"新都退","000033","2017-12-31","",""
"深信泰丰","000034","2001-12-31","",""
"深信泰丰","000034","2002-12-31","",""
"深信泰丰","000034","2003-12-31","",""
"深信泰丰","000034","2004-12-31","",""
"ST 深泰","000034","2005-12-31","",""
"S*ST 深泰","000034","2006-12-31","",""
"SST 深泰","000034","2007-12-31","",""
"ST 深泰","000034","2008-12-31","","1"
"*ST 深泰","000034","2009-12-31","",""
"ST 深泰","000034","2010-12-31","1","1"
"深信泰丰","000034","2011-12-31","1","1"
"深信泰丰","000034","2012-12-31","",""
"深信泰丰","000034","2013-12-31","",""
"深信泰丰","000034","2014-12-31","",""
"深信泰丰","000034","2015-12-31","1","1"
"神州数码","000034","2016-12-31","13","40"
"神州数码","000034","2017-12-31","14","30"
"神州数码","000034","2018-12-31","12","25"
"神州数码","000034","2019-12-31","8","21"
"神州数码","000034","2020-12-31","14","31"
"神州数码","000034","2021-12-31","8","12"
"中科健A","000035","2001-12-31","",""
"中科健A","000035","2002-12-31","1","1"
"中科健A","000035","2003-12-31","1","1"
"中科健A","000035","2004-12-31","",""
"ST 科健","000035","2005-12-31","",""
"S*ST 科健","000035","2006-12-31","",""
"ST 科健","000035","2007-12-31","",""
"ST 科健","000035","2008-12-31","",""
"ST 科健","000035","2009-12-31","",""
"*ST 科健","000035","2010-12-31","",""
"*ST 科健","000035","2011-12-31","",""
"*ST 科健","000035","2012-12-31","",""
"*ST 科健","000035","2013-12-31","",""
"中国天楹","000035","2014-12-31","6","14"
"中国天楹","000035","2015-12-31","5","10"
"中国天楹","000035","2016-12-31","15","48"
"中国天楹","000035","2017-12-31","10","15"
"中国天楹","000035","2018-12-31","3","6"
"中国天楹","000035","2019-12-31","3","4"
"中国天楹","000035","2020-12-31","1","1"
"中国天楹","000035","2021-12-31","2","2"
"华联控股","000036","2001-12-31","",""
"华联控股","000036","2002-12-31","1","1"
"华联控股","000036","2003-12-31","2","3"
"华联控股","000036","2004-12-31","2","2"
"华联控股","000036","2005-12-31","8","13"
"华联控股","000036","2006-12-31","3","3"
"华联控股","000036","2007-12-31","",""
"华联控股","000036","2008-12-31","",""
"*ST 华控","000036","2009-12-31","2","7"
"华联控股","000036","2010-12-31","3","6"
"华联控股","000036","2011-12-31","3","3"
"华联控股","000036","2012-12-31","1","1"
"华联控股","000036","2013-12-31","",""
"华联控股","000036","2014-12-31","",""
"华联控股","000036","2015-12-31","3","7"
"华联控股","000036","2016-12-31","4","17"
"华联控股","000036","2017-12-31","7","12"
"华联控股","000036","2018-12-31","1","1"
"华联控股","000036","2019-12-31","",""
"华联控股","000036","2020-12-31","",""
"华联控股","000036","2021-12-31","3","5"
"深南电A","000037","2001-12-31","",""
"深南电A","000037","2002-12-31","1","1"
"深南电A","000037","2003-12-31","7","8"
"深南电A","000037","2004-12-31","4","5"
"深南电A","000037","2005-12-31","3","3"
"深南电A","000037","2006-12-31","3","3"
"深南电A","000037","2007-12-31","",""
"深南电A","000037","2008-12-31","",""
"深南电A","000037","2009-12-31","","2"
"深南电A","000037","2010-12-31","",""
"深南电A","000037","2011-12-31","",""
"深南电A","000037","2012-12-31","",""
"深南电A","000037","2013-12-31","",""
"深南电A","000037","2014-12-31","",""
"深南电A","000037","2015-12-31","",""
"*ST 南电A","000037","2016-12-31","",""
"深南电A","000037","2017-12-31","",""
"深南电A","000037","2018-12-31","",""
"深南电A","000037","2019-12-31","",""
"深南电A","000037","2020-12-31","",""
"深南电A","000037","2021-12-31","",""
"中集集团","000039","2001-12-31","",""
"中集集团","000039","2002-12-31","",""
"中集集团","000039","2003-12-31","",""
"中集集团","000039","2004-12-31","8","12"
"中集集团","000039","2005-12-31","13","23"
"中集集团","000039","2006-12-31","17","27"
"中集集团","000039","2007-12-31","7","8"
"中集集团","000039","2008-12-31","17","29"
"中集集团","000039","2009-12-31","13","26"
"中集集团","000039","2010-12-31","28","58"
"中集集团","000039","2011-12-31","30","64"
"中集集团","000039","2012-12-31","21","48"
"中集集团","000039","2013-12-31","15","40"
"中集集团","000039","2014-12-31","11","31"
"中集集团","000039","2015-12-31","10","24"
"中集集团","000039","2016-12-31","10","25"
"中集集团","000039","2017-12-31","23","88"
"中集集团","000039","2018-12-31","32","83"
"中集集团","000039","2019-12-31","14","26"
"中集集团","000039","2020-12-31","12","16"
"中集集团","000039","2021-12-31","10","19"
"深鸿基A","000040","2001-12-31","",""
"深鸿基A","000040","2002-12-31","",""
"*ST 鸿基","000040","2003-12-31","",""
"ST 鸿基","000040","2004-12-31","1","1"
"深鸿基A","000040","2005-12-31","",""
"深鸿基","000040","2006-12-31","",""
"深鸿基","000040","2007-12-31","",""
"深鸿基","000040","2008-12-31","",""
"深鸿基","000040","2009-12-31","","2"
"深鸿基","000040","2010-12-31","","1"
"宝安地产","000040","2011-12-31","1","2"
"宝安地产","000040","2012-12-31","2","2"
"宝安地产","000040","2013-12-31","",""
"宝安地产","000040","2014-12-31","",""
"宝安地产","000040","2015-12-31","1","1"
"东旭蓝天","000040","2016-12-31","3","4"
"东旭蓝天","000040","2017-12-31","3","4"
